user_id, user_id2
197 , 17
197 , 18
197 , 19
197 , 20
197 , 21
197 , 22
197 , 23
197 , 24
197 , 25
197 , 26
197 , 27
197 , 28
197 , 29
197 , 30
197 , 31
197 , 32
197 , 33
197 , 34
197 , 35
197 , 36
197 , 37
197 , 38
197 , 39
197 , 40
197 , 41
199 , 19
199 , 20
199 , 21
199 , 22
199 , 23
199 , 24
199 , 25
199 , 26
199 , 27
199 , 28
199 , 29
199 , 30
199 , 31
199 , 32
199 , 33
199 , 34
199 , 35
199 , 36
199 , 37
199 , 38
199 , 39
199 , 40
199 , 41
199 , 42
200 , 484
200 , 485
200 , 486
200 , 487
200 , 488
200 , 489
200 , 490
200 , 491
200 , 492
200 , 493
200 , 494
200 , 495
200 , 496
200 , 497
200 , 498
200 , 499
